Name,Description,Designator,Footprint,LibRef,Quantity
100uF,CAP ALUM 100UF 20% 50V SMD,C1,FP-FKF-MFG,CMP-2000-06208-3,1
1 µF,CAP CER 1UF 16V X7R 0603,"C2, C3, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15, C17, C18, C20, C21",CAP 0603_1608,C0603C105K4RACAUTO,16
10 µF,CAP CER 10UF 50V X5R 0805,C4,CAP 0805_2012,GRM21BR61H106KE43L,1
0.1 µF,CAP CER 0.1UF 50V X7R 0805,"C8, C16",CAP 0805_2012,CC0805MRX7R9BB104,2
DFLS160-7,Rectifier Diode Schottky 60V 1A 2-Pin PowerDI 123 T/R / DIODE SCHOTTKY 60V 1A POWERDI123,"D1, D3",FP-PowerDI123-MFG,CMP-004-00032-1,2
1.5SMBJ26A-H,DIO TVS VRWM 26V 1500W UNIDIR SM,D2,FP-1_5SMBJ-MFG,CMP-07401-000042-1,1
2 PIN SCREW TERMINAL,"Tb, Wire To Brd, R/A, 2Way, 18Awg Rohs Compliant: Yes","J1, J2",6.91211E+11,CMP-002-00072-5,2
VLCF5028T-220MR71-2,22uH - 0.2Ohms,L2,IND_VLCF5028T-220MR71-2,CMP-006-00021-2,1
4 pin 2.54mm,Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Thru-Hole Bag,P1,61300411121,CMP-002-00073-2,1
Q_DAUL_NMOS,DUAL NMOS,"Q1, Q2",PowerPAK_SO-8L-2_DUAL_VIS,CMP-013-00035-4,2
100K,RES 10K OHM 0.1% 1/16W 0603,"R1, R8",RES 0603_1608,RNCS0603BKE10K0,2
137K,RES 10K OHM 0.1% 1/16W 0603,R2,RES 0603_1608,RNCS0603BKE10K0,1
10K,RES 10K OHM 0.1% 1/16W 0603,R3,RES 0603_1608,RNCS0603BKE10K0,1
15,RES 10K OHM 0.1% 1/16W 0603,"R4, R5, R6, R7",RES 0603_1608,RNCS0603BKE10K0,4
26K1,RES 10K OHM 0.1% 1/16W 0603,R9,RES 0603_1608,RNCS0603BKE10K0,1
124K,RES 10K OHM 0.1% 1/16W 0603,R10,RES 0603_1608,RNCS0603BKE10K0,1
40K2,RES 10K OHM 0.1% 1/16W 0603,R11,RES 0603_1608,RNCS0603BKE10K0,1
TEST_POINT,Testing point,TP1,Standard Test Point 1MM5,CMP-00001-4,1
STM32F303K8T6,MCU 32-Bit STM32 ARM Cortex M4 RISC 64KB Flash 2.5V/3.3V 32-Pin LQFP Tray,U1,STM-LQFP32_N,CMP-00002-4,1
MP6528GR-Z,5V to 60V H-Bridge Gate Driver,U2,QFN-28_MP6528_MNP,CMP-008-000000-4,1
RNBD350PE-I100,BLUETOOTH MODULE,U3,MOD30_3BW_13p4x18p7x2p8_MCH,CMP-010-000000-4,1
MP2459GJ-Z,0.5A 55V 480kHz Step-Down Converter in a TSOT23-6,U4,TSOT23-6_MP2459_MNP,CMP-018-000001-4,1
